first_contact_date,proposal_date,follow_up_count,deal_size,closure_date,proposal_delay_days,closure_duration_days
2024-12-11,2024-12-20,4,134010000,2025-12-20,9,374
2024-10-28,2024-11-02,7,112598000,2025-11-02,5,370
2024-12-28,2025-01-12,8,83115000,2026-01-12,15,380
2025-01-30,2025-02-09,5,30116000,2026-02-09,10,375
2024-08-05,2024-08-08,5,183177000,2025-08-08,3,368
2024-05-20,2024-05-23,4,46800000,2025-05-23,3,368
2025-09-07,2025-09-13,8,72343000,2026-09-13,6,371
2024-07-28,2024-08-03,5,19611000,2025-04-10,6,256
2025-09-14,2025-09-18,4,38141000,2026-05-13,4,241
2025-09-07,2025-09-20,6,51744000,2026-09-20,13,378
2025-11-13,2025-11-25,2,24229000,2026-11-25,12,377
2025-04-04,2025-04-09,6,28921000,2026-04-09,5,370
2024-12-21,2025-01-01,7,75261000,2026-01-01,11,376
2024-11-19,2024-11-22,4,113175000,2025-11-22,3,368
2024-05-12,2024-05-18,7,15286000,2025-05-18,6,371
2024-05-06,2024-05-10,3,307705000,2025-05-10,4,369
2024-04-15,2024-04-18,7,24537000,2025-03-18,3,337
2025-08-26,2025-08-28,2,21412000,2026-07-11,2,319
2025-01-12,2025-01-19,3,166782000,2026-01-19,7,372
2024-02-20,2024-02-21,5,85094000,2025-02-20,1,366
2024-01-29,2024-02-05,4,106664000,2025-02-04,7,372
2025-04-06,2025-04-10,5,24945000,2026-02-12,4,312
2024-10-22,2024-11-09,6,70366000,2025-11-09,18,383
2024-10-23,2024-10-30,4,378898000,2025-10-30,7,372
2025-12-26,2026-01-01,7,24766000,2027-01-01,6,371
2025-02-10,2025-02-16,5,88030000,2026-02-16,6,371
2025-09-04,2025-09-05,7,26383000,2026-08-07,1,337
2025-02-08,2025-02-09,7,21255000,2025-07-24,1,166
2024-12-11,2024-12-14,3,40189000,2025-12-14,3,368
2025-09-13,2025-09-18,4,47833000,2026-09-18,5,370
2025-02-23,2025-03-04,7,42823000,2026-03-04,9,374
2024-06-30,2024-07-03,6,46274000,2025-07-03,3,368
2024-01-01,2024-01-31,5,285311000,2025-01-30,30,395
2025-07-20,2025-07-22,3,192185000,2026-07-22,2,367
2025-01-05,2025-01-09,6,56371000,2026-01-09,4,369
2025-10-22,2025-10-26,6,52919000,2026-10-26,4,369
2025-03-06,2025-03-10,6,156585000,2026-03-10,4,369
2024-11-04,2024-11-06,5,88293000,2025-11-06,2,367
2024-05-16,2024-05-22,3,60666000,2025-05-22,6,371
2024-07-20,2024-07-25,4,295731000,2025-07-25,5,370
2025-03-11,2025-03-18,6,24583000,2026-03-18,7,372
2024-11-08,2024-11-09,8,48508000,2025-11-09,1,366
2024-04-26,2024-05-01,1,43927000,2025-05-01,5,370
2025-10-27,2025-10-28,3,71319000,2026-10-28,1,366
2025-07-28,2025-08-01,4,21046000,2026-02-23,4,210
2024-08-31,2024-09-06,8,71502000,2025-09-06,6,371
2025-06-20,2025-06-28,7,39413000,2026-06-28,8,373
2025-08-24,2025-08-27,5,112320000,2026-08-27,3,368
2024-03-15,2024-03-18,9,38179000,2025-03-18,3,368
2025-01-20,2025-01-21,3,31033000,2025-08-11,1,203
2024-07-28,2024-07-29,9,85186000,2025-07-29,1,366
2025-04-19,2025-04-24,7,53646000,2026-04-24,5,370
2025-02-21,2025-02-22,5,39844000,2026-02-22,1,366
2024-12-12,2024-12-17,8,41896000,2025-12-17,5,370
2025-06-12,2025-06-14,4,33320000,2026-05-29,2,351
2025-10-01,2025-10-02,6,255032000,2026-10-02,1,366
2024-06-27,2024-06-29,4,76066000,2025-06-29,2,367
2024-06-30,2024-07-02,5,90624000,2025-07-02,2,367
2025-10-25,2025-10-26,4,74404000,2026-10-26,1,366
2024-01-25,2024-01-28,4,61423000,2025-01-27,3,368
2024-06-28,2024-07-03,2,35058000,2025-06-06,5,343
2025-12-10,2025-12-12,6,28197000,2026-11-07,2,332
2025-05-15,2025-05-17,8,34933000,2026-05-17,2,367
2024-06-09,2024-06-12,5,83146000,2025-06-12,3,368
2024-06-25,2024-07-01,9,34687000,2025-04-01,6,280
2024-10-11,2024-10-18,5,138169000,2025-10-18,7,372
2024-03-03,2024-03-19,2,190151000,2025-03-19,16,381
2025-10-23,2025-10-24,4,12285000,2026-03-31,1,159
2025-10-27,2025-10-30,5,176635000,2026-10-30,3,368
2024-06-04,2024-06-13,1,20181000,2025-06-13,9,374
2025-04-13,2025-04-24,5,39757000,2026-04-24,11,376
2024-02-18,2024-02-29,4,55263000,2025-02-28,11,376
2024-03-24,2024-04-05,6,9251000,2024-04-10,12,17
2024-12-26,2025-01-09,4,28312000,2026-01-04,14,374
2025-11-19,2025-11-24,3,56154000,2026-11-24,5,370
2024-05-27,2024-06-08,5,18458000,2025-02-14,12,263
2025-09-21,2025-09-22,4,17839000,2026-04-26,1,217
2024-12-07,2024-12-11,10,216224000,2025-12-11,4,369
2025-04-20,2025-04-24,3,54528000,2026-04-24,4,369
2024-03-03,2024-03-06,4,110087000,2025-03-06,3,368
2025-12-01,2025-12-02,4,229451000,2026-12-02,1,366
2024-12-25,2025-01-04,4,93963000,2026-01-04,10,375
2025-07-14,2025-07-18,7,32850000,2026-07-18,4,369
2024-11-22,2024-11-26,4,30470000,2025-10-20,4,332
2024-05-20,2024-05-21,5,75263000,2025-05-21,1,366
2024-08-02,2024-08-08,5,85542000,2025-08-08,6,371
2025-03-10,2025-03-20,4,60620000,2026-03-20,10,375
2025-12-23,2025-12-29,9,90774000,2026-12-29,6,371
2024-11-13,2024-11-15,7,44649000,2025-11-15,2,367
2024-02-01,2024-02-11,3,49584000,2025-02-10,10,375
2025-10-31,2025-11-01,6,35005000,2026-04-01,1,152
2024-10-11,2024-10-18,10,24526000,2025-05-12,7,213
2024-10-31,2024-11-02,10,24109000,2025-11-02,2,367
2025-03-04,2025-03-16,2,36520000,2025-08-16,12,165
2025-04-21,2025-05-07,7,88395000,2026-05-07,16,381
2024-10-12,2024-10-14,4,50410000,2025-10-14,2,367
2024-05-23,2024-05-26,7,35041000,2025-05-26,3,368
2025-02-27,2025-03-06,2,39848000,2026-03-06,7,372
2024-01-19,2024-01-22,5,11479000,2024-10-16,3,271
2024-01-18,2024-01-19,4,32043000,2024-12-05,1,322
2025-08-12,2025-08-25,3,90037000,2026-08-25,13,378
2025-01-05,2025-01-08,5,19452000,2025-09-27,3,265
2024-06-23,2024-06-29,3,14032000,2025-05-23,6,334
2024-07-12,2024-07-14,5,18367000,2024-12-02,2,143
2025-05-16,2025-05-21,5,33046000,2026-04-24,5,343
2024-04-22,2024-04-27,4,46613000,2025-04-27,5,370
2024-04-23,2024-04-29,6,59019000,2025-04-29,6,371
2024-08-09,2024-08-12,4,86148000,2025-08-12,3,368
2025-11-08,2025-11-10,4,40316000,2026-11-10,2,367
2025-10-05,2025-10-07,5,87843000,2026-10-07,2,367
2024-09-20,2024-10-09,5,18855000,2025-10-09,19,384
2024-02-24,2024-03-03,5,128222000,2025-03-03,8,373
2025-10-04,2025-10-09,4,65340000,2026-10-09,5,370
2025-04-02,2025-04-03,2,9842000,2025-07-10,1,99
2024-06-10,2024-06-16,5,53426000,2025-06-16,6,371
2025-01-14,2025-01-29,4,312992000,2026-01-29,15,380
2024-03-27,2024-04-01,7,252792000,2025-04-01,5,370
2024-02-24,2024-03-02,9,48319000,2025-03-02,7,372
2025-04-20,2025-04-22,4,79063000,2026-04-22,2,367
2024-06-26,2024-07-01,8,20150000,2025-07-01,5,370
2025-01-25,2025-02-09,5,17633000,2025-09-14,15,232
2024-12-14,2024-12-18,7,42137000,2025-12-18,4,369
2024-01-08,2024-01-19,2,33188000,2024-12-29,11,356
2024-11-08,2024-11-10,3,55201000,2025-11-10,2,367
2025-03-18,2025-03-24,4,81079000,2026-03-24,6,371
2024-11-23,2024-11-27,10,78698000,2025-11-27,4,369
2024-02-23,2024-03-04,7,110862000,2025-03-04,10,375
2024-08-26,2024-09-07,7,73541000,2025-09-07,12,377
2024-08-16,2024-08-21,4,120884000,2025-08-21,5,370
2025-08-01,2025-08-07,7,111645000,2026-08-07,6,371
2024-02-20,2024-03-09,3,42035000,2025-03-09,18,383
2025-08-31,2025-09-10,5,9535000,2026-02-15,10,168
2025-08-26,2025-08-28,4,18453000,2026-05-12,2,259
2024-09-20,2024-09-24,2,78532000,2025-09-24,4,369
2025-02-21,2025-02-25,5,56041000,2026-02-25,4,369
2024-04-05,2024-04-13,11,251354000,2025-04-13,8,373
2024-03-28,2024-04-06,6,13896000,2024-06-13,9,77
2024-03-18,2024-03-27,10,100057000,2025-03-27,9,374
2024-10-14,2024-10-15,6,48370000,2025-10-15,1,366
2024-04-29,2024-05-10,9,25735000,2025-04-16,11,352
2025-05-05,2025-05-08,5,202071000,2026-05-08,3,368
2025-03-27,2025-03-29,3,20433000,2025-09-07,2,164
2025-05-14,2025-05-23,6,64343000,2026-05-23,9,374
2024-06-13,2024-06-26,6,133182000,2025-06-26,13,378
2024-06-30,2024-07-10,3,25112000,2025-07-09,10,374
2025-04-13,2025-04-19,4,11293000,2026-04-19,6,371
2024-01-07,2024-01-15,7,80272000,2025-01-14,8,373
2024-11-25,2024-11-26,1,121953000,2025-11-26,1,366
2025-11-03,2025-11-04,3,32691000,2026-11-04,1,366
2024-05-30,2024-06-16,2,13881000,2024-08-18,17,80
2024-03-25,2024-03-29,4,59721000,2025-03-29,4,369
2024-05-26,2024-05-29,4,38738000,2025-05-29,3,368
2025-09-15,2025-09-17,7,11054000,2026-01-05,2,112
2025-01-15,2025-01-23,8,77939000,2026-01-23,8,373
2025-07-01,2025-07-09,3,27678000,2026-02-03,8,217
2024-10-11,2024-10-17,5,79991000,2025-10-17,6,371
2025-11-30,2025-12-08,2,308701000,2026-12-08,8,373
2024-03-22,2024-03-28,5,47788000,2025-03-28,6,371
2025-05-28,2025-06-01,5,52418000,2026-06-01,4,369
2025-12-09,2025-12-10,10,53942000,2026-12-10,1,366
2025-06-06,2025-06-17,4,45168000,2026-06-17,11,376
2025-01-20,2025-01-28,4,19298000,2025-10-03,8,256
2025-12-07,2025-12-16,5,62792000,2026-12-16,9,374
2025-04-15,2025-04-24,4,31190000,2025-10-24,9,192
2024-04-28,2024-05-04,4,34263000,2025-05-04,6,371
2025-01-30,2025-02-03,4,27228000,2025-10-15,4,258
2025-06-15,2025-06-26,2,70544000,2026-06-26,11,376
2024-09-17,2024-09-21,4,26216000,2025-04-16,4,211
2024-09-12,2024-09-17,5,66520000,2025-09-17,5,370
2024-08-13,2024-08-16,6,72780000,2025-08-16,3,368
2024-02-22,2024-03-02,6,51548000,2025-03-02,9,374
2025-05-14,2025-05-18,6,15887000,2025-12-23,4,223
2025-05-20,2025-05-27,5,30224000,2026-03-18,7,302
2024-12-29,2025-01-03,6,45765000,2026-01-03,5,370
2024-10-06,2024-10-07,3,17086000,2025-04-19,1,195
2025-08-15,2025-08-24,7,62976000,2026-08-24,9,374
2025-12-14,2025-12-21,5,154572000,2026-12-21,7,372
2024-06-06,2024-06-10,4,73428000,2025-06-10,4,369
2025-09-23,2025-09-29,4,18245000,2026-04-25,6,214
2024-02-28,2024-03-08,8,341821000,2025-03-08,9,374
2025-12-27,2026-01-10,4,32266000,2027-01-10,14,379
2024-05-07,2024-05-13,4,59978000,2025-05-13,6,371
2025-12-21,2025-12-26,3,28451000,2026-12-01,5,345
2024-04-24,2024-04-29,6,58005000,2025-04-29,5,370
2024-07-27,2024-07-30,3,147890000,2025-07-30,3,368
2025-06-09,2025-06-14,4,20810000,2026-04-03,5,298
2025-06-04,2025-06-07,3,33674000,2026-06-07,3,368
2025-07-05,2025-07-08,4,55973000,2026-07-08,3,368
2024-08-24,2024-08-26,3,12319000,2025-06-27,2,307
2024-10-07,2024-10-11,3,94724000,2025-10-11,4,369
2024-12-24,2024-12-29,4,27462000,2025-12-29,5,370
2024-07-19,2024-07-25,2,50988000,2025-07-25,6,371
2024-10-04,2024-10-05,9,20282000,2025-10-05,1,366
2024-08-22,2024-08-30,2,19680000,2025-08-26,8,369
2025-05-08,2025-05-12,5,48523000,2026-05-12,4,369
2024-01-04,2024-01-05,5,170434000,2025-01-04,1,366
2025-10-27,2025-11-03,7,22818000,2026-05-22,7,207
2025-03-17,2025-03-20,5,101878000,2026-03-20,3,368
2024-01-29,2024-02-12,7,139835000,2025-02-11,14,379
2024-04-18,2024-04-20,5,107104000,2025-04-20,2,367
2025-09-01,2025-09-07,3,42743000,2026-09-07,6,371
2025-12-27,2025-12-29,2,59237000,2026-12-29,2,367
2024-03-15,2024-03-16,5,166603000,2025-03-16,1,366
2024-05-25,2024-06-11,7,104792000,2025-06-11,17,382
2024-05-07,2024-05-11,6,49851000,2025-05-11,4,369
2024-02-11,2024-02-14,4,19185000,2024-12-01,3,294
2024-12-21,2024-12-28,7,212989000,2025-12-28,7,372
2024-02-10,2024-02-16,4,53855000,2025-02-15,6,371
2024-02-03,2024-02-04,6,31661000,2024-11-13,1,284
2024-01-17,2024-01-19,4,74754000,2025-01-18,2,367
2025-11-07,2025-11-09,7,9090000,2026-02-06,2,91
2024-06-01,2024-06-02,5,85411000,2025-06-02,1,366
2025-01-12,2025-01-15,4,79782000,2026-01-15,3,368
2025-08-10,2025-08-14,4,64904000,2026-08-14,4,369
2025-08-21,2025-08-30,7,103937000,2026-08-30,9,374
2025-09-20,2025-09-25,4,61396000,2026-09-25,5,370
2024-12-07,2024-12-08,6,79140000,2025-12-08,1,366
2024-01-27,2024-01-29,3,84562000,2025-01-28,2,367
2024-10-13,2024-10-20,8,112937000,2025-10-20,7,372
2025-10-07,2025-10-12,3,37712000,2026-06-14,5,250
2024-06-16,2024-06-19,4,69697000,2025-06-19,3,368
2025-09-01,2025-09-02,3,33911000,2026-09-02,1,366
2024-09-24,2024-10-09,6,62953000,2025-10-09,15,380
2025-03-30,2025-04-17,6,48300000,2026-04-17,18,383
2025-11-15,2025-11-21,4,23838000,2026-10-03,6,322
2025-02-04,2025-02-08,4,76962000,2026-02-08,4,369
2025-04-20,2025-04-23,3,11823000,2026-03-03,3,317
2025-12-02,2025-12-07,5,20395000,2026-08-17,5,258
2025-09-25,2025-10-07,4,86683000,2026-10-07,12,377
2025-07-11,2025-07-15,4,28776000,2026-03-08,4,240
2025-07-29,2025-07-31,4,74943000,2026-07-31,2,367
2024-05-09,2024-05-23,3,307710000,2025-05-23,14,379
2024-12-28,2024-12-30,5,9227000,2025-12-30,2,367
2025-12-05,2025-12-08,3,61856000,2026-12-08,3,368
2025-11-23,2025-11-29,4,214962000,2026-11-29,6,371
2024-10-18,2024-10-20,7,59861000,2025-10-20,2,367
2025-01-05,2025-01-12,1,49283000,2026-01-12,7,372
2024-01-29,2024-02-01,5,35567000,2024-08-03,3,187
2024-05-28,2024-05-29,5,25978000,2025-05-04,1,341
2024-10-22,2024-10-29,6,9373000,2025-06-26,7,247
2024-01-11,2024-02-02,4,33497000,2025-02-01,22,387
2025-05-26,2025-06-01,3,51398000,2026-06-01,6,371
2025-11-06,2025-11-20,5,55345000,2026-11-20,14,379
2024-04-22,2024-05-03,6,103109000,2025-05-03,11,376
2024-07-05,2024-07-08,5,98698000,2025-07-08,3,368
2024-08-14,2024-08-18,3,58468000,2025-08-18,4,369
2024-11-05,2024-11-13,8,63736000,2025-11-13,8,373
2024-04-07,2024-04-16,7,46785000,2025-04-16,9,374
2024-02-24,2024-03-01,6,26788000,2025-02-25,6,367
2025-09-14,2025-09-30,1,103758000,2026-09-30,16,381
2025-10-25,2025-11-05,2,43093000,2026-11-05,11,376
2025-02-09,2025-02-15,1,60593000,2026-02-15,6,371
2024-03-09,2024-03-16,4,387602000,2025-03-16,7,372
2024-11-07,2024-11-08,1,101680000,2025-11-08,1,366
2024-10-15,2024-10-23,3,41612000,2025-10-23,8,373
2025-07-01,2025-07-08,6,14490000,2026-03-21,7,263
2024-05-27,2024-05-30,2,119159000,2025-05-30,3,368
2025-04-11,2025-04-13,7,4729000,2025-04-18,2,7
2024-08-31,2024-09-02,8,34984000,2025-06-13,2,286
2025-05-05,2025-05-16,3,10889000,2025-08-14,11,101
2025-05-21,2025-05-22,7,33187000,2026-05-22,1,366
2024-12-30,2025-01-02,4,32851000,2025-10-25,3,299
2025-04-26,2025-04-27,5,55207000,2026-04-27,1,366
2024-07-19,2024-07-21,10,41524000,2025-07-21,2,367
2024-06-02,2024-06-04,6,104559000,2025-06-04,2,367
2025-03-25,2025-03-26,6,81817000,2026-03-26,1,366
2025-05-15,2025-05-19,2,95946000,2026-05-19,4,369
2024-03-13,2024-03-15,4,15852000,2025-03-15,2,367
2025-12-13,2025-12-21,9,44113000,2026-12-21,8,373
2024-10-22,2024-11-03,6,80936000,2025-11-03,12,377
2024-01-17,2024-01-23,2,52555000,2025-01-22,6,371
2025-10-02,2025-10-06,5,30664000,2026-10-06,4,369
2024-08-04,2024-08-14,6,26790000,2025-06-27,10,327
2024-03-01,2024-03-02,4,215442000,2025-03-02,1,366
2025-09-07,2025-09-11,8,71445000,2026-09-11,4,369
2024-02-11,2024-02-12,5,9089000,2025-02-11,1,366
2024-01-25,2024-01-29,2,18025000,2024-06-28,4,155
2024-02-08,2024-02-17,3,9164000,2024-09-24,9,229
2024-05-10,2024-05-16,7,16103000,2024-10-20,6,163
2025-05-12,2025-05-15,4,19124000,2026-05-15,3,368
2024-08-16,2024-08-21,5,129920000,2025-08-21,5,370
2024-04-17,2024-04-19,6,75116000,2025-04-19,2,367
2024-06-20,2024-06-22,11,24829000,2025-01-14,2,208
2025-03-10,2025-03-14,7,26002000,2026-03-14,4,369
2025-04-22,2025-05-11,7,30192000,2026-05-11,19,384
2024-04-11,2024-04-25,8,23962000,2025-04-25,14,379
2025-06-07,2025-06-09,5,39085000,2026-06-09,2,367
2024-10-01,2024-10-03,11,25158000,2025-04-01,2,182
2025-09-04,2025-09-09,7,40386000,2026-09-09,5,370
2024-02-13,2024-02-16,3,17127000,2024-10-28,3,258
2024-01-17,2024-01-18,6,46461000,2025-01-17,1,366
2024-11-25,2024-12-01,3,58490000,2025-12-01,6,371
2025-07-22,2025-07-23,4,21459000,2026-07-09,1,352
2025-05-11,2025-05-19,5,27758000,2026-05-16,8,370
2024-01-12,2024-01-13,11,42135000,2025-01-12,1,366
2024-11-13,2024-11-25,5,97996000,2025-11-25,12,377
2025-08-14,2025-08-20,3,121863000,2026-08-20,6,371
2024-08-03,2024-08-05,5,45181000,2025-08-05,2,367
2024-12-04,2024-12-20,7,61508000,2025-12-20,16,381
2025-10-22,2025-11-01,9,43616000,2026-11-01,10,375
2024-03-21,2024-03-28,11,129918000,2025-03-28,7,372
2025-12-27,2026-01-03,5,185948000,2027-01-03,7,372
2025-04-29,2025-04-30,7,93843000,2026-04-30,1,366
2025-01-08,2025-01-14,3,69456000,2026-01-14,6,371
2025-12-10,2025-12-20,5,69835000,2026-12-20,10,375
2024-07-18,2024-07-25,3,54517000,2025-07-25,7,372
2025-06-20,2025-06-28,7,26654000,2026-06-17,8,362
2025-04-10,2025-04-15,7,32027000,2026-04-15,5,370
2024-03-29,2024-04-06,6,59969000,2025-04-06,8,373
2024-09-24,2024-10-02,7,32649000,2025-07-10,8,289
2025-10-16,2025-10-17,4,16600000,2026-05-08,1,204
2025-07-24,2025-07-29,3,41736000,2026-07-29,5,370
2025-05-03,2025-05-06,6,13543000,2025-07-31,3,89
2025-06-21,2025-07-01,1,224584000,2026-07-01,10,375
2024-02-16,2024-02-17,2,31158000,2025-02-16,1,366
2024-10-14,2024-10-15,5,47922000,2025-10-15,1,366
2024-01-16,2024-01-24,6,127302000,2025-01-23,8,373
2025-12-11,2025-12-12,4,351796000,2026-12-12,1,366
2025-02-04,2025-02-09,4,42020000,2026-02-09,5,370
2024-03-26,2024-04-09,9,25953000,2025-04-09,14,379
2024-09-06,2024-09-11,9,82144000,2025-09-11,5,370
2025-01-25,2025-01-26,2,47428000,2026-01-26,1,366
2024-11-30,2024-12-01,6,43849000,2025-12-01,1,366
2025-09-20,2025-09-21,8,57142000,2026-09-21,1,366
2025-06-02,2025-06-07,7,69701000,2026-06-07,5,370
2024-05-16,2024-05-18,6,247102000,2025-05-18,2,367
2025-11-18,2025-11-19,5,16791000,2026-10-03,1,319
2025-05-12,2025-05-24,4,230161000,2026-05-24,12,377
2025-12-27,2025-12-30,7,41186000,2026-10-08,3,285
2025-04-21,2025-04-29,8,100430000,2026-04-29,8,373
2025-08-16,2025-08-17,3,55353000,2026-08-17,1,366
2024-08-10,2024-08-11,2,49903000,2025-08-11,1,366
2025-01-06,2025-01-20,3,57293000,2026-01-20,14,379
2025-02-05,2025-02-08,6,25998000,2025-09-13,3,220
2025-03-18,2025-03-22,8,176948000,2026-03-22,4,369
2025-05-04,2025-05-05,8,76898000,2026-05-05,1,366
2025-09-06,2025-09-16,5,66655000,2026-09-16,10,375
2024-09-29,2024-10-04,4,38271000,2025-10-04,5,370
2025-06-09,2025-06-27,4,16192000,2026-06-27,18,383
2024-06-07,2024-06-11,3,84485000,2025-06-11,4,369
2024-05-31,2024-06-07,6,88497000,2025-06-07,7,372
2025-09-11,2025-09-19,10,78883000,2026-09-19,8,373
2024-07-06,2024-07-11,10,52742000,2025-07-11,5,370
2024-04-07,2024-04-11,4,41023000,2025-01-04,4,272
2024-05-10,2024-05-18,4,131819000,2025-05-18,8,373
2024-06-19,2024-06-25,5,71517000,2025-06-25,6,371
2024-07-01,2024-07-03,3,61440000,2025-07-03,2,367
2024-12-29,2025-01-09,5,15196000,2025-06-21,11,174
2024-02-08,2024-02-16,6,11310000,2024-08-26,8,200
2025-06-10,2025-06-14,4,314824000,2026-06-14,4,369
2025-05-11,2025-05-16,4,95055000,2026-05-16,5,370
2025-05-30,2025-06-06,5,138328000,2026-06-06,7,372
2024-12-14,2024-12-20,4,13424000,2025-07-24,6,222
2025-01-31,2025-02-17,4,108489000,2026-02-17,17,382
2025-12-22,2025-12-26,5,39055000,2026-12-26,4,369
2024-06-09,2024-06-14,4,53589000,2025-06-14,5,370
2024-01-16,2024-02-02,2,75529000,2025-02-01,17,382
2025-05-07,2025-05-14,4,56610000,2026-05-14,7,372
2025-03-01,2025-03-09,2,56347000,2026-03-09,8,373
2024-04-17,2024-04-23,5,24214000,2025-04-22,6,370
2025-03-25,2025-03-27,10,79978000,2026-03-27,2,367
2024-11-06,2024-11-10,1,24029000,2025-11-10,4,369
2024-06-18,2024-06-20,4,25328000,2025-06-20,2,367
2025-06-29,2025-07-09,2,53262000,2026-07-09,10,375
2025-02-17,2025-02-24,4,17869000,2026-02-24,7,372
2024-09-07,2024-09-10,2,125548000,2025-09-10,3,368
2024-05-20,2024-05-26,3,126110000,2025-05-26,6,371
2024-09-30,2024-10-04,8,34879000,2025-07-01,4,274
2025-02-19,2025-02-25,5,40106000,2026-02-25,6,371
2025-08-30,2025-09-07,2,50437000,2026-08-22,8,357
2024-02-08,2024-02-13,4,10154000,2024-07-25,5,168
2024-01-29,2024-02-13,3,15103000,2025-01-16,15,353
2025-04-21,2025-04-23,7,87295000,2026-04-23,2,367
2024-11-13,2024-11-15,10,66954000,2025-11-15,2,367
2024-09-01,2024-09-05,7,36710000,2025-09-05,4,369
2025-11-27,2025-12-06,6,34560000,2026-12-06,9,374
2024-09-28,2024-10-04,1,86555000,2025-10-04,6,371
2025-03-15,2025-03-16,4,10867000,2025-07-26,1,133
2024-08-26,2024-08-27,4,220794000,2025-08-27,1,366
2025-01-11,2025-01-26,8,102492000,2026-01-26,15,380
2024-09-22,2024-09-27,8,35612000,2025-03-31,5,190
2024-12-24,2025-01-03,4,66536000,2026-01-03,10,375
2024-12-05,2024-12-09,3,147843000,2025-12-09,4,369
2025-01-23,2025-02-01,6,21206000,2025-12-30,9,341
2025-07-30,2025-08-02,2,136928000,2026-08-02,3,368
2025-11-19,2025-11-21,2,48457000,2026-11-21,2,367
2024-01-03,2024-01-10,4,84564000,2025-01-09,7,372
2025-03-04,2025-03-19,4,98852000,2026-03-19,15,380
2024-05-21,2024-05-24,9,56006000,2025-05-24,3,368
2025-01-10,2025-01-11,5,117551000,2026-01-11,1,366
2025-10-31,2025-11-14,7,34917000,2026-11-14,14,379
2024-11-19,2024-11-20,5,48114000,2025-11-20,1,366
2024-05-25,2024-05-26,2,26454000,2024-05-31,1,6
2024-10-19,2024-10-20,7,28206000,2025-03-15,1,147
2025-10-26,2025-11-03,3,57116000,2026-11-03,8,373
2025-03-07,2025-03-20,9,96734000,2026-03-20,13,378
2025-12-05,2025-12-13,6,17507000,2026-12-13,8,373
2025-08-07,2025-08-11,4,67109000,2026-08-11,4,369
2025-02-02,2025-02-08,5,125324000,2026-02-08,6,371
2024-12-09,2024-12-15,3,140849000,2025-12-15,6,371
2024-05-19,2024-05-27,3,44713000,2025-05-26,8,372
2024-07-05,2024-07-13,6,21109000,2025-04-26,8,295
2024-03-01,2024-03-13,2,83733000,2025-03-13,12,377
2025-01-14,2025-01-16,7,69923000,2026-01-16,2,367
2025-12-10,2025-12-18,9,48972000,2026-12-18,8,373
2025-03-15,2025-03-18,4,39000000,2026-03-18,3,368
2024-11-14,2024-11-21,5,64172000,2025-11-21,7,372
2024-10-28,2024-11-02,1,68629000,2025-11-02,5,370
2024-12-09,2024-12-12,8,35309000,2025-12-12,3,368
2024-01-11,2024-01-15,2,41176000,2025-01-14,4,369
2024-03-02,2024-03-03,5,16121000,2024-03-08,1,6
2024-08-13,2024-08-14,5,62725000,2025-08-14,1,366
2024-06-01,2024-06-05,5,68302000,2025-06-05,4,369
2025-12-11,2025-12-30,12,18332000,2026-04-28,19,138
2025-07-17,2025-07-18,2,45027000,2026-07-18,1,366
2025-07-24,2025-08-10,2,32242000,2026-08-10,17,382
2025-08-06,2025-08-08,6,122132000,2026-08-08,2,367
2025-10-21,2025-10-22,7,17784000,2026-09-05,1,319
2025-07-28,2025-07-31,4,120062000,2026-07-31,3,368
2024-11-05,2024-11-09,4,135604000,2025-11-09,4,369
2024-08-30,2024-09-04,6,7028000,2025-03-23,5,205
2025-05-07,2025-05-08,5,81936000,2026-05-08,1,366
2024-12-31,2025-01-03,6,73521000,2026-01-03,3,368
2024-11-25,2024-11-26,4,14498000,2025-05-17,1,173
2024-04-16,2024-04-21,6,37887000,2025-04-21,5,370
2024-08-13,2024-08-27,7,34609000,2025-08-06,14,358
2024-08-05,2024-08-09,4,22991000,2025-08-05,4,365
2025-05-20,2025-05-21,3,29449000,2026-04-02,1,317
2024-09-15,2024-09-16,5,96798000,2025-09-16,1,366
2025-05-31,2025-06-04,4,52441000,2026-06-04,4,369
2024-02-23,2024-02-24,4,30488000,2025-02-23,1,366
2024-02-16,2024-02-20,7,19565000,2024-06-18,4,123
2025-12-27,2025-12-31,9,96046000,2026-12-31,4,369
2025-11-19,2025-11-21,0,190004000,2026-11-21,2,367
2025-06-04,2025-06-14,2,41148000,2026-06-14,10,375
2024-04-08,2024-04-10,4,45558000,2025-04-10,2,367
2024-01-20,2024-01-26,4,377970000,2025-01-25,6,371
2025-07-26,2025-08-01,3,95898000,2026-08-01,6,371
2025-05-04,2025-05-16,2,118448000,2026-05-16,12,377
2025-02-22,2025-02-26,8,30976000,2026-02-26,4,369
2025-11-20,2025-11-22,8,24909000,2026-09-05,2,289
2024-03-02,2024-03-07,3,137228000,2025-03-07,5,370
2024-05-24,2024-06-02,5,70666000,2025-06-02,9,374
2024-08-03,2024-08-12,6,57148000,2025-08-12,9,374
2024-01-03,2024-01-11,4,68489000,2025-01-10,8,373
2024-06-08,2024-06-11,4,194826000,2025-06-11,3,368
2024-04-29,2024-05-04,4,27239000,2025-05-04,5,370
2024-03-29,2024-04-03,6,55646000,2025-04-03,5,370
2024-11-24,2024-12-03,6,28402000,2025-09-08,9,288
2025-08-02,2025-08-03,5,61232000,2026-08-03,1,366
